#,ieee,endpoint_id,cluster_type,cluster_id,attr_id,manufacturer_code,manufacturer_code_idx,status,value,last_updated
86,00:00:00:00:00:00:00:01,1,0,0,5,,-2,0,,1773259056.940316
87,00:00:00:00:00:00:00:01,1,0,0,4,,-2,0,,1773259056.940412
88,00:00:00:00:00:00:00:02,1,0,0,4,,-2,0,,1756245013.415751
89,00:00:00:00:00:00:00:02,1,0,0,5,,-2,0,,1753353975.089061
90,00:00:00:00:00:00:00:02,1,0,0,0,,-2,0,,1753353975.142233
91,00:00:00:00:00:00:00:02,1,0,0,1,,-2,0,,1773311216.042899
92,00:00:00:00:00:00:00:02,1,0,0,7,,-2,0,,1753353975.14255
93,00:00:00:00:00:00:00:02,1,0,0,65534,,-2,0,,1753353975.142655
94,00:00:00:00:00:00:00:02,1,0,6,32769,,-2,0,,1764168730.917363
95,00:00:00:00:00:00:00:02,1,0,6,32770,,-2,0,,1764168730.917455
96,00:00:00:00:00:00:00:02,1,0,6,32768,,-2,0,,1764168730.917669
97,00:00:00:00:00:00:00:02,1,0,6,0,,-2,0,,1773259057.389956
98,00:00:00:00:00:00:00:02,1,0,2820,1539,,-2,0,,1773259057.977421
99,00:00:00:00:00:00:00:02,1,0,2820,1538,,-2,0,,1773259057.976736
100,00:00:00:00:00:00:00:02,1,0,2820,1291,,-2,0,,1773311281.323099
101,00:00:00:00:00:00:00:02,1,0,2820,1288,,-2,0,,1773311281.323496
102,00:00:00:00:00:00:00:02,1,0,2820,1285,,-2,0,,1773311281.323801
103,00:00:00:00:00:00:00:02,1,0,1794,770,,-2,0,,1753353976.023819
104,00:00:00:00:00:00:00:02,1,0,1794,769,,-2,0,,1753353976.023971
105,00:00:00:00:00:00:00:02,1,0,1794,774,,-2,0,,1753353976.024126
106,00:00:00:00:00:00:00:02,1,0,1794,771,,-2,0,,1753353976.024242
107,00:00:00:00:00:00:00:02,1,0,1794,768,,-2,0,,1753353976.06319
108,00:00:00:00:00:00:00:02,1,0,1794,0,,-2,0,,1773311280.205751
109,00:00:00:00:00:00:00:02,1,0,1794,512,,-2,0,,1773311280.205947
110,00:00:00:00:00:00:00:02,1,1,25,2,,-2,0,,1773301177.072247
111,00:00:00:00:00:00:00:02,1,0,6,16385,,-2,0,,1764168730.917206
112,00:00:00:00:00:00:00:02,1,0,6,16386,,-2,0,,1764168730.917288
113,00:00:00:00:00:00:00:02,1,0,57345,53296,,-2,0,,1764168731.003191
114,00:00:00:00:00:00:00:03,1,0,0,4,,-2,0,,1766156853.216688
115,00:00:00:00:00:00:00:03,1,0,0,5,,-2,0,,1753437488.773369
116,00:00:00:00:00:00:00:03,1,0,258,8,,-2,0,,1773310524.611602
117,00:00:00:00:00:00:00:03,1,1,25,2,,-2,0,,1773301177.081542
118,00:00:00:00:00:00:00:03,1,0,258,61440,,-2,0,,1773298822.30524
119,00:00:00:00:00:00:00:03,1,0,258,32768,,-2,0,,1764190237.706542
120,00:00:00:00:00:00:00:03,1,0,258,61442,,-2,0,,1764190237.762314
121,00:00:00:00:00:00:00:03,1,0,258,61443,,-2,0,,1764190237.820844
122,00:00:00:00:00:00:00:04,1,0,0,4,,-2,0,,1754420108.580868
123,00:00:00:00:00:00:00:04,1,0,0,5,,-2,0,,1754420108.580917
124,00:00:00:00:00:00:00:04,1,1,25,2,,-2,0,,1773287137.072671
125,00:00:00:00:00:00:00:04,1,0,61184,61184,4417,4417,0,,1754420119.410556
